Vardas              Pavarde             Galutinis(egz.)
Vardas93            Pavarde93           9                   
Vardas94            Pavarde94           5.8                 
Vardas95            Pavarde95           8                   
Vardas96            Pavarde96           6                   
Vardas97            Pavarde97           6                   
Vardas99            Pavarde99           5.2                 
Vardas101           Pavarde101          8.2                 
Vardas103           Pavarde103          6.4                 
Vardas104           Pavarde104          8.2                 
Vardas105           Pavarde105          6                   
Vardas106           Pavarde106          7.4                 
Vardas107           Pavarde107          8                   
Vardas108           Pavarde108          5.8                 
Vardas109           Pavarde109          6                   
Vardas111           Pavarde111          6.4                 
Vardas114           Pavarde114          9                   
Vardas117           Pavarde117          9.4                 
Vardas118           Pavarde118          8.8                 
Vardas120           Pavarde120          5.4                 
Vardas121           Pavarde121          9.6                 
Vardas122           Pavarde122          5.2                 
Vardas124           Pavarde124          7.8                 
Vardas128           Pavarde128          7.8                 
Vardas129           Pavarde129          5.4                 
Vardas131           Pavarde131          5.8                 
Vardas132           Pavarde132          6.2                 
Vardas133           Pavarde133          6.2                 
Vardas135           Pavarde135          6.8                 
Vardas136           Pavarde136          7.4                 
Vardas137           Pavarde137          7.2                 
Vardas140           Pavarde140          7.6                 
Vardas141           Pavarde141          6.2                 
Vardas142           Pavarde142          6.8                 
Vardas146           Pavarde146          7.8                 
Vardas147           Pavarde147          8                   
Vardas149           Pavarde149          7                   
Vardas150           Pavarde150          6.8                 
Vardas151           Pavarde151          8.8                 
Vardas152           Pavarde152          5.4                 
Vardas153           Pavarde153          6                   
Vardas154           Pavarde154          8                   
Vardas157           Pavarde157          6                   
Vardas158           Pavarde158          6.4                 
Vardas159           Pavarde159          8.2                 
Vardas160           Pavarde160          9.2                 
Vardas161           Pavarde161          8.8                 
Vardas162           Pavarde162          8.8                 
Vardas163           Pavarde163          5.2                 
Vardas164           Pavarde164          7.4                 
Vardas165           Pavarde165          6.4                 
Vardas166           Pavarde166          5.4                 
Vardas167           Pavarde167          5.4                 
Vardas170           Pavarde170          5.2                 
Vardas171           Pavarde171          5.2                 
Vardas173           Pavarde173          6.6                 
Vardas175           Pavarde175          5.8                 
Vardas176           Pavarde176          6.2                 
Vardas180           Pavarde180          5.2                 
Vardas182           Pavarde182          5.8                 
Vardas183           Pavarde183          8                   
Vardas184           Pavarde184          7.2                 
Vardas187           Pavarde187          8.4                 
Vardas188           Pavarde188          5.2                 
Vardas190           Pavarde190          9                   
Vardas191           Pavarde191          6.8                 
Vardas194           Pavarde194          6.2                 
Vardas195           Pavarde195          5                   
Vardas196           Pavarde196          5                   
Vardas197           Pavarde197          7.2                 
Vardas199           Pavarde199          8                   
Vardas200           Pavarde200          8.4                 
Vardas202           Pavarde202          7                   
Vardas205           Pavarde205          6.4                 
Vardas206           Pavarde206          7.2                 
Vardas207           Pavarde207          6.8                 
Vardas215           Pavarde215          5.4                 
Vardas222           Pavarde222          7.6                 
Vardas225           Pavarde225          5.4                 
Vardas226           Pavarde226          7.6                 
Vardas227           Pavarde227          5.8                 
Vardas228           Pavarde228          5.4                 
Vardas229           Pavarde229          5                   
Vardas230           Pavarde230          6                   
Vardas232           Pavarde232          6.6                 
Vardas233           Pavarde233          5.8                 
Vardas234           Pavarde234          5.2                 
Vardas236           Pavarde236          5.2                 
Vardas238           Pavarde238          7.6                 
Vardas239           Pavarde239          7                   
Vardas240           Pavarde240          8                   
Vardas241           Pavarde241          5.4                 
Vardas242           Pavarde242          7.2                 
Vardas243           Pavarde243          6.2                 
Vardas244           Pavarde244          7.2                 
Vardas245           Pavarde245          9.4                 
Vardas248           Pavarde248          5.8                 
Vardas250           Pavarde250          6                   
Vardas252           Pavarde252          5.4                 
Vardas255           Pavarde255          5.6                 
Vardas258           Pavarde258          6                   
Vardas260           Pavarde260          7.2                 
Vardas262           Pavarde262          9                   
Vardas263           Pavarde263          7.2                 
Vardas265           Pavarde265          9.6                 
Vardas267           Pavarde267          6.2                 
Vardas268           Pavarde268          8.6                 
Vardas269           Pavarde269          6.4                 
Vardas271           Pavarde271          5.8                 
Vardas275           Pavarde275          6.6                 
Vardas277           Pavarde277          5.2                 
Vardas278           Pavarde278          7                   
Vardas279           Pavarde279          7.6                 
Vardas280           Pavarde280          7.6                 
Vardas282           Pavarde282          5.2                 
Vardas284           Pavarde284          5                   
Vardas285           Pavarde285          7.4                 
Vardas287           Pavarde287          7.6                 
Vardas288           Pavarde288          7.6                 
Vardas289           Pavarde289          5.8                 
Vardas290           Pavarde290          6.4                 
Vardas292           Pavarde292          5                   
Vardas294           Pavarde294          9.2                 
Vardas296           Pavarde296          5.6                 
Vardas298           Pavarde298          8.6                 
Vardas299           Pavarde299          7.8                 
Vardas303           Pavarde303          7.6                 
Vardas305           Pavarde305          5.8                 
Vardas307           Pavarde307          5.8                 
Vardas308           Pavarde308          5.2                 
Vardas310           Pavarde310          6.2                 
Vardas311           Pavarde311          5.2                 
Vardas312           Pavarde312          6.4                 
Vardas313           Pavarde313          6.6                 
Vardas316           Pavarde316          6                   
Vardas318           Pavarde318          5.6                 
Vardas319           Pavarde319          7.4                 
Vardas321           Pavarde321          5.2                 
Vardas325           Pavarde325          5                   
Vardas327           Pavarde327          5.2                 
Vardas328           Pavarde328          5.8                 
Vardas330           Pavarde330          9.2                 
Vardas334           Pavarde334          7.4                 
Vardas335           Pavarde335          8.4                 
Vardas338           Pavarde338          7.6                 
Vardas339           Pavarde339          7.8                 
Vardas340           Pavarde340          6                   
Vardas341           Pavarde341          8.2                 
Vardas342           Pavarde342          5.6                 
Vardas346           Pavarde346          5.6                 
Vardas350           Pavarde350          7.2                 
Vardas351           Pavarde351          5.8                 
Vardas352           Pavarde352          6.2                 
Vardas353           Pavarde353          6.6                 
Vardas355           Pavarde355          8                   
Vardas358           Pavarde358          5.2                 
Vardas362           Pavarde362          6.4                 
Vardas364           Pavarde364          5.4                 
Vardas366           Pavarde366          8.4                 
Vardas368           Pavarde368          8.4                 
Vardas369           Pavarde369          7.4                 
Vardas371           Pavarde371          5.2                 
Vardas373           Pavarde373          8.2                 
Vardas374           Pavarde374          5.8                 
Vardas375           Pavarde375          7.6                 
Vardas376           Pavarde376          7                   
Vardas378           Pavarde378          7.8                 
Vardas382           Pavarde382          6                   
Vardas385           Pavarde385          6.4                 
Vardas386           Pavarde386          6.4                 
Vardas387           Pavarde387          6                   
Vardas388           Pavarde388          6                   
Vardas389           Pavarde389          8.6                 
Vardas390           Pavarde390          6.4                 
Vardas391           Pavarde391          6.4                 
Vardas392           Pavarde392          5.2                 
Vardas393           Pavarde393          5.4                 
Vardas395           Pavarde395          6.2                 
Vardas396           Pavarde396          7.4                 
Vardas398           Pavarde398          6.4                 
Vardas400           Pavarde400          8.4                 
Vardas401           Pavarde401          5.2                 
Vardas402           Pavarde402          6.6                 
Vardas403           Pavarde403          7.8                 
Vardas404           Pavarde404          7.6                 
Vardas405           Pavarde405          7.4                 
Vardas406           Pavarde406          7.6                 
Vardas407           Pavarde407          7.4                 
Vardas408           Pavarde408          5.6                 
Vardas409           Pavarde409          7.8                 
Vardas412           Pavarde412          8.2                 
Vardas413           Pavarde413          5.6                 
Vardas416           Pavarde416          5.4                 
Vardas417           Pavarde417          5.4                 
Vardas418           Pavarde418          7                   
Vardas419           Pavarde419          7.6                 
Vardas420           Pavarde420          5.6                 
Vardas423           Pavarde423          6.6                 
Vardas425           Pavarde425          5                   
Vardas427           Pavarde427          8.2                 
Vardas432           Pavarde432          7.4                 
Vardas437           Pavarde437          5.4                 
Vardas440           Pavarde440          5.8                 
Vardas441           Pavarde441          6.6                 
Vardas442           Pavarde442          5.6                 
Vardas443           Pavarde443          9.4                 
Vardas445           Pavarde445          9                   
Vardas448           Pavarde448          5.8                 
Vardas449           Pavarde449          7.6                 
Vardas451           Pavarde451          9.4                 
Vardas455           Pavarde455          6.8                 
Vardas456           Pavarde456          9.6                 
Vardas457           Pavarde457          9.6                 
Vardas462           Pavarde462          9.6                 
Vardas463           Pavarde463          6.6                 
Vardas467           Pavarde467          6.4                 
Vardas468           Pavarde468          8.4                 
Vardas469           Pavarde469          9.2                 
Vardas472           Pavarde472          6.8                 
Vardas473           Pavarde473          6                   
Vardas474           Pavarde474          6.4                 
Vardas475           Pavarde475          6.6                 
Vardas478           Pavarde478          5                   
Vardas481           Pavarde481          8.4                 
Vardas482           Pavarde482          5.8                 
Vardas483           Pavarde483          7                   
Vardas484           Pavarde484          5                   
Vardas485           Pavarde485          8.8                 
Vardas486           Pavarde486          7                   
Vardas489           Pavarde489          6.6                 
Vardas493           Pavarde493          6.4                 
Vardas494           Pavarde494          5.2                 
Vardas495           Pavarde495          7.2                 
Vardas496           Pavarde496          8.8                 
Vardas497           Pavarde497          5.8                 
Vardas498           Pavarde498          6.4                 
Vardas500           Pavarde500          8.8                 
Vardas501           Pavarde501          8.6                 
Vardas502           Pavarde502          7                   
Vardas504           Pavarde504          7                   
Vardas505           Pavarde505          7                   
Vardas506           Pavarde506          7.6                 
Vardas511           Pavarde511          7.6                 
Vardas516           Pavarde516          8.2                 
Vardas517           Pavarde517          5.4                 
Vardas518           Pavarde518          8                   
Vardas521           Pavarde521          8                   
Vardas522           Pavarde522          6.2                 
Vardas525           Pavarde525          5.6                 
Vardas526           Pavarde526          9                   
Vardas529           Pavarde529          9.4                 
Vardas532           Pavarde532          10                  
Vardas533           Pavarde533          6                   
Vardas534           Pavarde534          7.8                 
Vardas535           Pavarde535          9.4                 
Vardas536           Pavarde536          7                   
Vardas538           Pavarde538          5.4                 
Vardas540           Pavarde540          6.8                 
Vardas541           Pavarde541          8.6                 
Vardas542           Pavarde542          6                   
Vardas545           Pavarde545          9.6                 
Vardas546           Pavarde546          6.6                 
Vardas548           Pavarde548          6                   
Vardas549           Pavarde549          6                   
Vardas550           Pavarde550          7.6                 
Vardas551           Pavarde551          8.4                 
Vardas554           Pavarde554          7.6                 
Vardas555           Pavarde555          9.6                 
Vardas557           Pavarde557          5.2                 
Vardas561           Pavarde561          7.8                 
Vardas562           Pavarde562          6.2                 
Vardas563           Pavarde563          9.6                 
Vardas564           Pavarde564          6                   
Vardas565           Pavarde565          6                   
Vardas567           Pavarde567          7.8                 
Vardas569           Pavarde569          5.4                 
Vardas570           Pavarde570          5                   
Vardas572           Pavarde572          10                  
Vardas576           Pavarde576          7.4                 
Vardas577           Pavarde577          8.6                 
Vardas578           Pavarde578          5.8                 
Vardas579           Pavarde579          5                   
Vardas580           Pavarde580          6.8                 
Vardas581           Pavarde581          6                   
Vardas582           Pavarde582          6.2                 
Vardas583           Pavarde583          5.6                 
Vardas585           Pavarde585          9                   
Vardas589           Pavarde589          7                   
Vardas592           Pavarde592          8                   
Vardas594           Pavarde594          6.8                 
Vardas595           Pavarde595          7.6                 
Vardas596           Pavarde596          6                   
Vardas598           Pavarde598          8.4                 
Vardas599           Pavarde599          6.2                 
Vardas603           Pavarde603          5.2                 
Vardas604           Pavarde604          6.6                 
Vardas606           Pavarde606          7.8                 
Vardas608           Pavarde608          8                   
Vardas611           Pavarde611          5.4                 
Vardas612           Pavarde612          5                   
Vardas616           Pavarde616          6                   
Vardas617           Pavarde617          9.2                 
Vardas618           Pavarde618          6                   
Vardas622           Pavarde622          7.2                 
Vardas623           Pavarde623          5.4                 
Vardas624           Pavarde624          6                   
Vardas625           Pavarde625          7.2                 
Vardas626           Pavarde626          6                   
Vardas627           Pavarde627          7                   
Vardas628           Pavarde628          6.2                 
Vardas629           Pavarde629          9.4                 
Vardas630           Pavarde630          6.6                 
Vardas632           Pavarde632          5                   
Vardas633           Pavarde633          5                   
Vardas634           Pavarde634          5.8                 
Vardas637           Pavarde637          5                   
Vardas638           Pavarde638          7                   
Vardas640           Pavarde640          7.8                 
Vardas642           Pavarde642          5.4                 
Vardas644           Pavarde644          6.2                 
Vardas645           Pavarde645          9.2                 
Vardas647           Pavarde647          8.6                 
Vardas649           Pavarde649          5.2                 
Vardas650           Pavarde650          8.4                 
Vardas652           Pavarde652          5                   
Vardas653           Pavarde653          6.4                 
Vardas654           Pavarde654          7.2                 
Vardas655           Pavarde655          7.2                 
Vardas656           Pavarde656          8.4                 
Vardas660           Pavarde660          6.4                 
Vardas662           Pavarde662          5.2                 
Vardas663           Pavarde663          7.2                 
Vardas668           Pavarde668          8                   
Vardas672           Pavarde672          5.6                 
Vardas673           Pavarde673          7.6                 
Vardas674           Pavarde674          8.8                 
Vardas676           Pavarde676          6.6                 
Vardas677           Pavarde677          7.6                 
Vardas678           Pavarde678          5.8                 
Vardas679           Pavarde679          6.2                 
Vardas681           Pavarde681          5.8                 
Vardas683           Pavarde683          6.6                 
Vardas685           Pavarde685          6                   
Vardas686           Pavarde686          6.8                 
Vardas689           Pavarde689          7.4                 
Vardas691           Pavarde691          5.8                 
Vardas692           Pavarde692          8.6                 
Vardas693           Pavarde693          7.6                 
Vardas694           Pavarde694          6                   
Vardas695           Pavarde695          7                   
Vardas697           Pavarde697          5.8                 
Vardas698           Pavarde698          5.4                 
Vardas700           Pavarde700          6.4                 
Vardas701           Pavarde701          6.4                 
Vardas702           Pavarde702          5                   
Vardas703           Pavarde703          6.6                 
Vardas704           Pavarde704          7.2                 
Vardas705           Pavarde705          5                   
Vardas706           Pavarde706          5.4                 
Vardas707           Pavarde707          5                   
Vardas708           Pavarde708          7.8                 
Vardas709           Pavarde709          6.8                 
Vardas710           Pavarde710          7.6                 
Vardas713           Pavarde713          6.6                 
Vardas718           Pavarde718          9.2                 
Vardas719           Pavarde719          5.8                 
Vardas721           Pavarde721          5.2                 
Vardas722           Pavarde722          7.6                 
Vardas723           Pavarde723          7                   
Vardas727           Pavarde727          5.2                 
Vardas728           Pavarde728          8.4                 
Vardas731           Pavarde731          6.4                 
Vardas732           Pavarde732          9.6                 
Vardas733           Pavarde733          5.6                 
Vardas735           Pavarde735          5.2                 
Vardas736           Pavarde736          7                   
Vardas738           Pavarde738          9.6                 
Vardas739           Pavarde739          9.6                 
Vardas740           Pavarde740          10                  
Vardas742           Pavarde742          5.8                 
Vardas743           Pavarde743          8.6                 
Vardas744           Pavarde744          5.6                 
Vardas745           Pavarde745          5.2                 
Vardas746           Pavarde746          5.8                 
Vardas748           Pavarde748          5.2                 
Vardas754           Pavarde754          5.4                 
Vardas756           Pavarde756          8                   
Vardas758           Pavarde758          5.4                 
Vardas759           Pavarde759          6.2                 
Vardas760           Pavarde760          5.2                 
Vardas763           Pavarde763          6.4                 
Vardas764           Pavarde764          7.2                 
Vardas766           Pavarde766          7                   
Vardas767           Pavarde767          9                   
Vardas768           Pavarde768          9.4                 
Vardas770           Pavarde770          9.2                 
Vardas772           Pavarde772          7.8                 
Vardas773           Pavarde773          7.6                 
Vardas774           Pavarde774          5.6                 
Vardas775           Pavarde775          7                   
Vardas777           Pavarde777          7                   
Vardas778           Pavarde778          7.2                 
Vardas780           Pavarde780          6.6                 
Vardas781           Pavarde781          5                   
Vardas782           Pavarde782          6.2                 
Vardas783           Pavarde783          8                   
Vardas784           Pavarde784          8.2                 
Vardas786           Pavarde786          5.8                 
Vardas787           Pavarde787          5.2                 
Vardas789           Pavarde789          8.8                 
Vardas792           Pavarde792          7.4                 
Vardas795           Pavarde795          5.2                 
Vardas796           Pavarde796          6                   
Vardas798           Pavarde798          9                   
Vardas800           Pavarde800          5.6                 
Vardas802           Pavarde802          8.4                 
Vardas803           Pavarde803          6.4                 
Vardas804           Pavarde804          5.2                 
Vardas806           Pavarde806          5                   
Vardas807           Pavarde807          7.6                 
Vardas810           Pavarde810          5.6                 
Vardas811           Pavarde811          8.4                 
Vardas812           Pavarde812          6.2                 
Vardas813           Pavarde813          5.6                 
Vardas814           Pavarde814          7.8                 
Vardas815           Pavarde815          8.8                 
Vardas816           Pavarde816          5.8                 
Vardas817           Pavarde817          7                   
Vardas818           Pavarde818          7.8                 
Vardas820           Pavarde820          6.4                 
Vardas821           Pavarde821          6                   
Vardas824           Pavarde824          7.4                 
Vardas828           Pavarde828          6.2                 
Vardas829           Pavarde829          7.2                 
Vardas830           Pavarde830          5.8                 
Vardas831           Pavarde831          9.4                 
Vardas834           Pavarde834          7                   
Vardas837           Pavarde837          8.2                 
Vardas839           Pavarde839          6.8                 
Vardas841           Pavarde841          5.2                 
Vardas845           Pavarde845          5.6                 
Vardas847           Pavarde847          5.2                 
Vardas848           Pavarde848          7.2                 
Vardas856           Pavarde856          6                   
Vardas857           Pavarde857          8.2                 
Vardas858           Pavarde858          7.8                 
Vardas859           Pavarde859          5                   
Vardas860           Pavarde860          7.6                 
Vardas862           Pavarde862          9.4                 
Vardas863           Pavarde863          7                   
Vardas864           Pavarde864          9.4                 
Vardas865           Pavarde865          6.8                 
Vardas866           Pavarde866          5.8                 
Vardas867           Pavarde867          7.8                 
Vardas868           Pavarde868          8.4                 
Vardas870           Pavarde870          7.6                 
Vardas871           Pavarde871          8.8                 
Vardas874           Pavarde874          6                   
Vardas876           Pavarde876          5.6                 
Vardas877           Pavarde877          6.2                 
Vardas878           Pavarde878          7.6                 
Vardas879           Pavarde879          5.2                 
Vardas882           Pavarde882          6                   
Vardas883           Pavarde883          7.2                 
Vardas885           Pavarde885          7.4                 
Vardas886           Pavarde886          5.4                 
Vardas888           Pavarde888          6                   
Vardas889           Pavarde889          9                   
Vardas890           Pavarde890          8.4                 
Vardas894           Pavarde894          6.4                 
Vardas896           Pavarde896          6.8                 
Vardas898           Pavarde898          5.6                 
Vardas901           Pavarde901          5.4                 
Vardas902           Pavarde902          5.2                 
Vardas904           Pavarde904          5.8                 
Vardas907           Pavarde907          8.8                 
Vardas910           Pavarde910          6.4                 
Vardas911           Pavarde911          6.4                 
Vardas912           Pavarde912          6.4                 
Vardas913           Pavarde913          5.4                 
Vardas916           Pavarde916          6                   
Vardas917           Pavarde917          6.2                 
Vardas918           Pavarde918          8.2                 
Vardas924           Pavarde924          5                   
Vardas927           Pavarde927          6                   
Vardas932           Pavarde932          5.2                 
Vardas933           Pavarde933          6.6                 
Vardas934           Pavarde934          6.2                 
Vardas935           Pavarde935          6.2                 
Vardas936           Pavarde936          6.6                 
Vardas937           Pavarde937          8.4                 
Vardas938           Pavarde938          5.4                 
Vardas942           Pavarde942          6.6                 
Vardas943           Pavarde943          9                   
Vardas944           Pavarde944          6.2                 
Vardas946           Pavarde946          8.4                 
Vardas947           Pavarde947          7.6                 
Vardas949           Pavarde949          10                  
Vardas953           Pavarde953          7.6                 
Vardas954           Pavarde954          5                   
Vardas957           Pavarde957          6.6                 
Vardas958           Pavarde958          7.6                 
Vardas961           Pavarde961          7.2                 
Vardas962           Pavarde962          6.8                 
Vardas963           Pavarde963          7                   
Vardas969           Pavarde969          7.6                 
Vardas970           Pavarde970          7.8                 
Vardas971           Pavarde971          8.2                 
Vardas973           Pavarde973          7.4                 
Vardas974           Pavarde974          7                   
Vardas975           Pavarde975          8.4                 
Vardas979           Pavarde979          8                   
Vardas980           Pavarde980          7                   
Vardas981           Pavarde981          5.6                 
Vardas982           Pavarde982          7.2                 
Vardas983           Pavarde983          8.6                 
Vardas984           Pavarde984          6.6                 
Vardas986           Pavarde986          6.6                 
Vardas989           Pavarde989          5.6                 
Vardas990           Pavarde990          5                   
Vardas998           Pavarde998          6                   
Vardas999           Pavarde999          7                   
Vardas1000          Pavarde1000         5.8                 
Vardas1001          Pavarde1001         6.6                 
Vardas1002          Pavarde1002         6                   
Vardas1003          Pavarde1003         7.8                 
Vardas1005          Pavarde1005         7                   
Vardas1007          Pavarde1007         7.8                 
Vardas1012          Pavarde1012         6.8                 
Vardas1013          Pavarde1013         6.6                 
Vardas1014          Pavarde1014         6.4                 
Vardas1015          Pavarde1015         6                   
Vardas1016          Pavarde1016         7.2                 
Vardas1018          Pavarde1018         7.4                 
Vardas1019          Pavarde1019         6.2                 
Vardas1021          Pavarde1021         5.2                 
Vardas1023          Pavarde1023         7                   
Vardas1024          Pavarde1024         5.6                 
Vardas1025          Pavarde1025         7.2                 
Vardas1027          Pavarde1027         8                   
Vardas1028          Pavarde1028         6.4                 
Vardas1029          Pavarde1029         7.4                 
Vardas1030          Pavarde1030         7.8                 
Vardas1031          Pavarde1031         8.6                 
Vardas1032          Pavarde1032         8.8                 
Vardas1034          Pavarde1034         6.4                 
Vardas1038          Pavarde1038         7.2                 
Vardas1039          Pavarde1039         5                   
Vardas1042          Pavarde1042         6.8                 
Vardas1045          Pavarde1045         8.8                 
Vardas1046          Pavarde1046         6.4                 
Vardas1049          Pavarde1049         5.2                 
Vardas1050          Pavarde1050         8.8                 
Vardas1051          Pavarde1051         8.4                 
Vardas1052          Pavarde1052         9                   
Vardas1053          Pavarde1053         7.6                 
Vardas1055          Pavarde1055         5.8                 
Vardas1056          Pavarde1056         6.6                 
Vardas1058          Pavarde1058         9.4                 
Vardas1061          Pavarde1061         7.6                 
Vardas1062          Pavarde1062         6                   
Vardas1064          Pavarde1064         7.4                 
Vardas1065          Pavarde1065         5.6                 
Vardas1070          Pavarde1070         5                   
Vardas1071          Pavarde1071         6.4                 
Vardas1072          Pavarde1072         5.4                 
Vardas1074          Pavarde1074         6.6                 
Vardas1075          Pavarde1075         5.8                 
Vardas1077          Pavarde1077         7.2                 
Vardas1078          Pavarde1078         7.2                 
Vardas1079          Pavarde1079         5.8                 
Vardas1080          Pavarde1080         6.4                 
Vardas1081          Pavarde1081         6                   
Vardas1082          Pavarde1082         6.4                 
Vardas1083          Pavarde1083         5.2                 
Vardas1086          Pavarde1086         8.4                 
Vardas1087          Pavarde1087         6.4                 
Vardas1089          Pavarde1089         7.6                 
Vardas1091          Pavarde1091         5.4                 
Vardas1093          Pavarde1093         7.2                 
Vardas1094          Pavarde1094         6.4                 
Vardas1099          Pavarde1099         7.4                 
Vardas1100          Pavarde1100         7.2                 
Vardas1107          Pavarde1107         8.4                 
Vardas1108          Pavarde1108         6.6                 
Vardas1109          Pavarde1109         5.8                 
Vardas1111          Pavarde1111         6.6                 
Vardas1113          Pavarde1113         7.8                 
Vardas1115          Pavarde1115         8                   
Vardas1116          Pavarde1116         9                   
Vardas1117          Pavarde1117         6                   
Vardas1118          Pavarde1118         5.6                 
Vardas1119          Pavarde1119         7.6                 
Vardas1125          Pavarde1125         7.2                 
Vardas1126          Pavarde1126         8                   
Vardas1129          Pavarde1129         5                   
Vardas1130          Pavarde1130         9.4                 
Vardas1135          Pavarde1135         9.4                 
Vardas1136          Pavarde1136         6                   
Vardas1137          Pavarde1137         7.2                 
Vardas1139          Pavarde1139         6.6                 
Vardas1144          Pavarde1144         5.2                 
Vardas1145          Pavarde1145         7                   
Vardas1147          Pavarde1147         7.8                 
Vardas1148          Pavarde1148         9.6                 
Vardas1149          Pavarde1149         7.2                 
Vardas1154          Pavarde1154         5                   
Vardas1155          Pavarde1155         8.4                 
Vardas1156          Pavarde1156         5                   
Vardas1157          Pavarde1157         8.4                 
Vardas1158          Pavarde1158         7.6                 
Vardas1159          Pavarde1159         5.8                 
Vardas1160          Pavarde1160         5.2                 
Vardas1163          Pavarde1163         5.8                 
Vardas1165          Pavarde1165         6.8                 
Vardas1166          Pavarde1166         7.8                 
Vardas1168          Pavarde1168         5.2                 
Vardas1169          Pavarde1169         5                   
Vardas1170          Pavarde1170         6.4                 
Vardas1172          Pavarde1172         5.6                 
Vardas1177          Pavarde1177         8                   
Vardas1179          Pavarde1179         5.2                 
Vardas1181          Pavarde1181         5.2                 
Vardas1182          Pavarde1182         6.8                 
Vardas1183          Pavarde1183         6.6                 
Vardas1186          Pavarde1186         8.8                 
Vardas1191          Pavarde1191         9.2                 
Vardas1192          Pavarde1192         8                   
Vardas1195          Pavarde1195         7.2                 
Vardas1196          Pavarde1196         5.8                 
Vardas1197          Pavarde1197         5.8                 
Vardas1199          Pavarde1199         7.2                 
Vardas1201          Pavarde1201         5.6                 
Vardas1203          Pavarde1203         8.2                 
Vardas1204          Pavarde1204         5.8                 
Vardas1205          Pavarde1205         6.4                 
Vardas1208          Pavarde1208         6                   
Vardas1209          Pavarde1209         6                   
Vardas1211          Pavarde1211         8                   
Vardas1212          Pavarde1212         7                   
Vardas1215          Pavarde1215         5.6                 
Vardas1217          Pavarde1217         7.4                 
Vardas1218          Pavarde1218         8.6                 
Vardas1219          Pavarde1219         9.4                 
Vardas1220          Pavarde1220         8.8                 
Vardas1221          Pavarde1221         5.2                 
Vardas1222          Pavarde1222         7.6                 
Vardas1223          Pavarde1223         9.6                 
Vardas1224          Pavarde1224         8.8                 
Vardas1228          Pavarde1228         7.2                 
Vardas1229          Pavarde1229         5.2                 
Vardas1230          Pavarde1230         6.2                 
Vardas1231          Pavarde1231         7                   
Vardas1233          Pavarde1233         6                   
Vardas1234          Pavarde1234         9.6                 
Vardas1237          Pavarde1237         5.6                 
Vardas1238          Pavarde1238         8                   
Vardas1239          Pavarde1239         5.6                 
Vardas1240          Pavarde1240         8.2                 
Vardas1241          Pavarde1241         9.4                 
Vardas1242          Pavarde1242         10                  
Vardas1244          Pavarde1244         6.6                 
Vardas1245          Pavarde1245         6.6                 
Vardas1246          Pavarde1246         6.4                 
Vardas1249          Pavarde1249         6.4                 
Vardas1250          Pavarde1250         5                   
Vardas1251          Pavarde1251         6.8                 
Vardas1252          Pavarde1252         5.6                 
